date,merchant,amount,type
2025-01-01,Swiggy,450,Debit
2025-01-02,Uber,280,Debit
2025-01-03,Amazon,1500,Debit
2025-01-04,Salary,50000,Credit
2025-01-05,Zomato,700,Debit
2025-01-06,Netflix,649,Debit
2025-01-07,Spotify,119,Debit
2025-01-08,Uber,320,Debit
2025-01-09,Hotstar,299,Debit
2025-01-10,Swiggy,520,Debit
2025-01-11,Airtel,999,Debit
2025-01-12,Flipkart,2100,Debit
2025-01-13,Jio,599,Debit
2025-01-14,Zomato,380,Debit
2025-01-15,Uber,190,Debit
2025-01-16,Prime,1499,Debit
2025-01-17,BESCOM,2200,Debit
2025-01-18,Swiggy,610,Debit
2025-01-19,BookMyShow,800,Debit
2025-01-20,Amazon,2400,Debit
2025-01-21,BSNL,499,Debit
2025-01-22,Ola,250,Debit
2025-01-23,Electricity,1800,Debit
2025-01-24,McDonald's,340,Debit
2025-01-25,Starbucks,280,Debit
2025-01-26,Swiggy,490,Debit
2025-01-27,BookMyShow,650,Debit
2025-01-28,Rapido,90,Debit
2025-01-29,Domino's,720,Debit
2025-01-30,Myntra,1850,Debit
2025-01-31,Zomato,540,Debit
