date,merchant,amount,type
2025-01-02,McDonald's,505,Debit
2025-01-02,Myntra,1457,Debit
2025-01-02,Rapido,92,Debit
2025-01-03,Ajio,1051,Debit
2025-01-03,Ola,284,Debit
2025-01-03,Rapido,83,Debit
2025-01-03,Rapido,102,Debit
2025-01-04,BookMyShow,282,Debit
2025-01-04,Salary,48000,Credit
2025-01-04,Uber Eats,275,Debit
2025-01-04,Uber Eats,552,Debit
2025-01-05,BigBasket,855,Debit
2025-01-05,McDonald's,412,Debit
2025-01-05,Netflix,649,Debit
2025-01-05,Starbucks,381,Debit
2025-01-05,Zomato,871,Debit
2025-01-06,Ola,569,Debit
2025-01-06,Spotify,119,Debit
2025-01-06,Uber Eats,704,Debit
2025-01-07,Flipkart,3643,Debit
2025-01-07,Hotstar,299,Debit
2025-01-07,Uber,560,Debit
2025-01-07,Uber Eats,683,Debit
2025-01-08,Airtel,599,Debit
2025-01-08,Google Play,107,Debit
2025-01-08,McDonald's,375,Debit
2025-01-08,Ola,393,Debit
2025-01-08,Zomato,299,Debit
2025-01-09,Jio,599,Debit
2025-01-09,McDonald's,181,Debit
2025-01-09,Starbucks,356,Debit
2025-01-10,Prime,1499,Debit
2025-01-10,Swiggy,449,Debit
2025-01-10,Uber Eats,583,Debit
2025-01-11,Flipkart,2608,Debit
2025-01-11,Starbucks,411,Debit
2025-01-11,Uber Eats,739,Debit
2025-01-12,BookMyShow,496,Debit
2025-01-12,Electricity,1963,Debit
2025-01-12,Myntra,1858,Debit
2025-01-12,Zomato,246,Debit
2025-01-13,Domino's,854,Debit
2025-01-13,Uber,620,Debit
2025-01-14,Domino's,769,Debit
2025-01-14,McDonald's,461,Debit
2025-01-14,Rapido,148,Debit
2025-01-15,Ola,453,Debit
2025-01-15,Zomato,460,Debit
2025-01-16,Google Play,372,Debit
2025-01-16,McDonald's,276,Debit
2025-01-16,Rapido,98,Debit
2025-01-16,Swiggy,433,Debit
2025-01-17,Flipkart,1539,Debit
2025-01-17,Swiggy,212,Debit
2025-01-17,Zomato,602,Debit
2025-01-18,Amazon,3830,Debit
2025-01-18,BookMyShow,670,Debit
2025-01-18,McDonald's,414,Debit
2025-01-18,Starbucks,462,Debit
2025-01-18,Zomato,684,Debit
2025-01-19,BookMyShow,446,Debit
2025-01-19,McDonald's,353,Debit
2025-01-19,Rapido,126,Debit
2025-01-19,Uber Eats,320,Debit
2025-01-20,Amazon,1063,Debit
2025-01-20,McDonald's,273,Debit
2025-01-20,Rapido,65,Debit
2025-01-20,Uber,346,Debit
